engine_id cycle sensor_1 sensor_2 sensor_3 sensor_4 sensor_11 sensor_12
99 1 518.67 641.82 1589.70 1400.60 47.48 521.66
99 2 518.68 641.81 1589.68 1400.72 47.49 521.64
99 3 518.66 641.83 1589.65 1400.81 47.51 521.61
99 4 518.70 641.84 1589.62 1400.93 47.54 521.58
99 5 518.69 641.85 1589.60 1401.05 47.57 521.55
99 6 518.72 641.88 1589.57 1401.18 47.60 521.50
99 7 518.75 641.89 1589.54 1401.30 47.64 521.44
99 8 518.77 641.90 1589.50 1401.45 47.68 521.38
99 9 518.80 641.93 1589.45 1401.62 47.72 521.32
99 10 518.84 641.95 1589.40 1401.80 47.78 521.25

100 1 518.67 641.82 1589.70 1400.50 47.45 521.70
100 2 518.69 641.84 1589.67 1400.62 47.47 521.67
100 3 518.72 641.86 1589.63 1400.77 47.50 521.64
100 4 518.75 641.88 1589.58 1400.94 47.54 521.60
100 5 518.79 641.91 1589.54 1401.10 47.58 521.55

101 1 518.67 641.82 1589.70 1400.65 47.48 521.66
101 2 518.68 641.84 1589.68 1400.80 47.51 521.61
101 3 518.70 641.87 1589.64 1401.05 47.58 521.53
101 4 518.74 641.91 1589.58 1401.40 47.70 521.40
101 5 518.79 641.96 1589.50 1402.00 48.20 520.90
